Parent Index,Date,Away Team,Away Team Score,Home Team,Home Team Score,Location,Is Final
27,2023-10-03,Wisconsin-Platteville,1,Loras,1,"Dubuque, Iowa",True
28,2023-10-04,Buena Vista,0,Central,4,"Pella, Iowa",True
28,2023-10-04,Wartburg,0,Nebraska Wesleyan,0,"Lincoln, Neb.",True
28,2023-10-04,Luther,2,Simpson,1,"Indianola, Iowa",True
28,2023-10-04,Coe,0,Dubuque,1,"Dubuque, Iowa",True
29,2023-10-06,Central,1,Wis.-Platteville,3,"Platteville, Wis.",True
30,2023-10-07,Wartburg,0,Luther,0,"Decorah, Iowa",True
30,2023-10-07,Simpson,4,Buena Vista,2,"Storm Lake, Iowa",True
30,2023-10-07,Nebraska Wesleyan,1,Coe,4,"Cedar Rapids, Iowa",True
30,2023-10-07,Dubuque,1,Loras,3,"Dubuque, Iowa",True
31,2023-10-10,Wisconsin-Eau Claire,2,Dubuque,0,"Dubuque, Iowa",True
31,2023-10-10,Central,2,Luther,0,"Decorah, Iowa",True
31,2023-10-10,Coe,3,Buena Vista,0,"Storm Lake, Iowa",True
31,2023-10-10,Loras,2,Wartburg,0,"Waverly, Iowa",True
31,2023-10-10,Nebraska Wesleyan,1,Simpson,2,"Indianola, Iowa",True
32,2023-10-13,Dordt (Iowa),2,Buena Vista,2,"Storm Lake, Iowa",True
33,2023-10-14,Wartburg,1,Central,0,"Pella, Iowa",True
33,2023-10-14,Nebraska Wesleyan,2,Dubuque,2,"Dubuque, Iowa",True
33,2023-10-14,Simpson,5,Loras,2,"Dubuque, Iowa",True
33,2023-10-14,Luther,2,Coe,1,"Cedar Rapids, Iowa",True
34,2023-10-15,Buena Vista,1,Grinnell,5,"Grinnell, Iowa",True
34,2023-10-15,Saint John's,0,Wartburg,2,"Waverly, Iowa",True
35,2023-10-16,Gustavus Adolphus,1,Luther,1,"Decorah, Iowa",True
36,2023-10-18,Loras,1,Luther,0,"Decorah, Iowa",True
36,2023-10-18,Simpson,2,Dubuque,3,"Dubuque, Iowa",True
36,2023-10-18,Central,1,Coe,0,"Cedar Rapids, Iowa",True
36,2023-10-18,Buena Vista,1,Nebraska Wesleyan,2,"Lincoln, Neb.",True
37,2023-10-21,Wartburg,3,Simpson,1,"Indianola, Iowa",True
37,2023-10-21,Dubuque,3,Buena Vista,1,"Storm Lake, Iowa",True
37,2023-10-21,Central,0,Nebraska Wesleyan,1,"Lincoln, Neb.",True
37,2023-10-21,Luther,2,Wisconsin-Eau Claire,5,"Eau Claire, Wis.",True
37,2023-10-21,Coe,0,Loras,1,"Dubuque, Iowa",True
38,2023-10-24,Loras,2,Central,1,"Pella, Iowa",True
38,2023-10-24,Bethel,1,Nebraska Wesleyan,4,"Lincoln, Neb.",True
38,2023-10-24,Buena Vista,0,Wartburg,2,"Waverly, Iowa",True
38,2023-10-24,Simpson,1,Coe,3,"Cedar Rapids, Iowa",True
38,2023-10-24,Luther,0,Dubuque,1,"Dubuque, Iowa",True
39,2023-10-26,Buena Vista,0,Hamline University,6,"Storm Lake, IA",True
40,2023-10-28,Wartburg,,A-R-C First Round - BYE,,at Higher Seed,True
40,2023-10-28,A-R-C First Round - BYE,,Loras,,at Higher Seed,True
40,2023-10-28,Simpson,3,Luther,3,"Decorah, Iowa",True
40,2023-10-28,Nebraska Wesleyan,0,Dubuque,1,"Dubuque, Iowa",True
41,2023-11-01,Dubuque,0,Wartburg,1,"Waverly, Iowa",True
41,2023-11-01,Luther,0,Loras,3,"Dubuque, Iowa",True
42,2023-11-04,Wartburg,1,Loras,0,"Dubuque, Iowa",True
43,2023-11-10,Gustavus Adolphus - NCAA First Round,3,Wartburg,1,"Waverly, Iowa",True
